name,slug,description,price,discountPrice,categoryId,imageUrl,sizes,colors,stock,featured,customizable
Birthday Celebration Tee,birthday-celebration-tee,"Celebrate in style with our vibrant 'Happy Birthday' typography T-shirt. Made from 100% premium cotton, it's the perfect gift for your special day.",699.0,599.0,1,/assets/products/tshirt_birthday.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Apology Kitten Tee,apology-kitten-tee,Say 'I'm Sorry' with this adorable sad kitten illustration. A soft and comfortable way to mend any relationship.,699.0,599.0,1,/assets/products/tshirt_sorry.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Keep Going Motivational Tee,keep-going-motivational-tee,Stay inspired with our minimalist 'Keep Going' T-shirt. Elegant white typography on a premium navy blue base.,699.0,599.0,1,/assets/products/tshirt_motivational.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Viral Meme Culture Tee,viral-meme-culture-tee,Wear the internet's favorite moments. This trendy T-shirt features a viral meme illustration that's sure to start conversations.,750.0,649.0,1,/assets/products/tshirt_meme.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Minimalist Face Line Art Tee,minimalist-face-line-art-tee,"A touch of modern art for your wardrobe. Features a continuous line drawing of a human face for a sophisticated, artistic look.",750.0,649.0,1,/assets/products/tshirt_lineart.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Urban Explorer Streetwear Hoodie,urban-explorer-streetwear-hoodie,Dominate the streets with our 'Urban Explorer' graffiti-style hoodie. Premium fleece for maximum warmth and style.,1599.0,1399.0,2,/assets/products/hoodie_streetwear.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Cozy Winter Wishes Hoodie,cozy-winter-wishes-hoodie,Stay warm this winter with our 'Winter Wishes' snowflake design. Soft fleece and a cozy fit for those chilly nights.,1599.0,1399.0,2,/assets/products/hoodie_winter.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Pro Gamer Neon Hoodie,pro-gamer-neon-hoodie,Level up your style with our 'Pro Gamer' neon controller design. Perfect for long gaming sessions and late-night streams.,1699.0,1499.0,2,/assets/products/hoodie_gaming.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,True,True
Aesthetic Anime Girl Hoodie,aesthetic-anime-girl-hoodie,A minimalist anime-inspired design for the modern fan. Clean lines and a sleek aesthetic on a premium white hoodie.,1699.0,1499.0,2,/assets/products/hoodie_anime.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
Stay Wild Nature Hoodie,stay-wild-nature-hoodie,Connect with the outdoors. Our 'Stay Wild' hoodie features nature-inspired typography on a deep forest green base.,1599.0,1399.0,2,/assets/products/hoodie_quote.png,S;M;L;XL;XXL,White;Black;Navy;Grey,100,False,True
